100000,37,16,8,27,34,48,8,14,36,36,41,35,42,36,3,40,43,1,
37,100000,28,31,37,12,41,24,2,18,49,46,14,21,32,49,25,14,4,
16,28,100000,9,49,3,11,18,40,13,25,8,1,48,23,49,24,28,18,
8,31,9,100000,13,4,27,8,38,33,18,29,39,34,38,22,30,45,10,
27,37,49,13,100000,48,39,11,40,38,49,29,43,31,23,2,34,29,35,
34,12,3,4,48,100000,14,31,25,3,24,10,13,36,5,7,48,12,15,
48,41,11,27,39,14,100000,39,30,48,23,9,1,33,38,34,25,14,18,
8,24,18,8,11,31,39,100000,13,41,5,31,22,10,10,25,41,9,33,
14,2,40,38,40,25,30,13,100000,6,11,14,18,13,38,42,16,10,11,
36,18,13,33,38,3,48,41,6,100000,21,33,46,3,6,28,1,43,44,
36,49,25,18,49,24,23,5,11,21,100000,13,20,24,19,10,23,14,7,
41,46,8,29,29,10,9,31,14,33,13,100000,3,42,47,24,13,5,36,
35,14,1,39,43,13,1,22,18,46,20,3,100000,8,21,29,18,45,36,
42,21,48,34,31,36,33,10,13,3,24,42,8,100000,20,5,16,14,41,
36,32,23,38,23,5,38,10,38,6,19,47,21,20,100000,36,48,6,25,
3,49,49,22,2,7,34,25,42,28,10,24,29,5,36,100000,8,27,12,
40,25,24,30,34,48,25,41,16,1,23,13,18,16,48,8,100000,37,44,
43,14,28,45,29,12,14,9,10,43,14,5,45,14,6,27,37,100000,23,
1,4,18,10,35,15,18,33,11,44,7,36,36,41,25,12,44,23,100000,
