100000,44,31,22,1,35,15,21,9,33,27,1,12,16,41,1,25,15,27,5,
44,100000,14,2,24,22,4,6,9,41,17,21,2,43,21,1,27,43,21,45,
31,14,100000,1,27,33,37,10,40,29,31,35,18,7,16,20,12,47,5,14,
22,2,1,100000,8,33,5,14,40,15,31,14,23,48,43,38,8,23,29,18,
1,24,27,8,100000,19,11,18,1,8,42,23,46,25,9,20,24,22,25,39,
35,22,33,33,19,100000,26,36,10,20,28,18,47,47,43,18,40,23,22,2,
15,4,37,5,11,26,100000,42,32,24,30,42,3,23,10,38,23,29,35,11,
21,6,10,14,18,36,42,100000,29,19,32,43,40,3,7,8,6,24,38,18,
9,9,40,40,1,10,32,29,100000,34,27,11,31,11,12,28,38,24,7,42,
33,41,29,15,8,20,24,19,34,100000,32,4,21,39,30,23,48,22,6,15,
27,17,31,31,42,28,30,32,27,32,100000,43,38,23,3,46,8,42,41,27,
1,21,35,14,23,18,42,43,11,4,43,100000,4,17,6,23,33,15,8,49,
12,2,18,23,46,47,3,40,31,21,38,4,100000,30,24,48,31,13,18,5,
16,43,7,48,25,47,23,3,11,39,23,17,30,100000,2,9,10,4,4,44,
41,21,16,43,9,43,10,7,12,30,3,6,24,2,100000,3,25,1,37,7,
1,1,20,38,20,18,38,8,28,23,46,23,48,9,3,100000,23,10,6,3,
25,27,12,8,24,40,23,6,38,48,8,33,31,10,25,23,100000,8,31,18,
15,43,47,23,22,23,29,24,24,22,42,15,13,4,1,10,8,100000,48,17,
27,21,5,29,25,22,35,38,7,6,41,8,18,4,37,6,31,48,100000,22,
5,45,14,18,39,2,11,18,42,15,27,49,5,44,7,3,18,17,22,100000,
