100000,45,2,13,38,17,41,11,43,48,39,47,36,28,40,36,47,39,17,41,20,31,29,24,
45,100000,11,41,12,9,3,23,1,34,17,27,5,25,40,14,3,34,1,11,6,14,1,4,
2,11,100000,22,6,39,44,26,32,26,42,31,36,32,8,4,47,34,23,48,13,18,7,47,
13,41,22,100000,32,12,48,36,9,44,48,28,16,16,16,5,25,41,23,25,29,3,6,25,
38,12,6,32,100000,18,49,18,38,16,3,38,20,7,41,38,17,27,26,22,6,23,36,5,
17,9,39,12,18,100000,37,8,26,39,22,6,29,8,30,35,1,37,11,42,9,29,13,25,
41,3,44,48,49,37,100000,1,46,49,41,48,12,2,23,27,18,30,26,40,43,42,9,37,
11,23,26,36,18,8,1,100000,25,30,36,43,2,16,7,22,34,33,41,34,4,27,41,3,
43,1,32,9,38,26,46,25,100000,12,33,29,21,27,28,49,9,29,3,24,9,12,43,19,
48,34,26,44,16,39,49,30,12,100000,28,44,41,2,46,20,22,5,22,36,2,15,8,34,
39,17,42,48,3,22,41,36,33,28,100000,47,45,29,14,20,34,25,35,26,26,25,17,39,
47,27,31,28,38,6,48,43,29,44,47,100000,22,40,5,44,9,25,19,24,22,9,47,11,
36,5,36,16,20,29,12,2,21,41,45,22,100000,22,18,29,23,19,32,29,8,8,13,46,
28,25,32,16,7,8,2,16,27,2,29,40,22,100000,6,44,49,37,36,39,6,30,46,35,
40,40,8,16,41,30,23,7,28,46,14,5,18,6,100000,32,43,34,33,13,6,47,47,35,
36,14,4,5,38,35,27,22,49,20,20,44,29,44,32,100000,32,16,24,42,48,18,6,35,
47,3,47,25,17,1,18,34,9,22,34,9,23,49,43,32,100000,34,4,43,26,26,27,9,
39,34,34,41,27,37,30,33,29,5,25,25,19,37,34,16,34,100000,20,8,2,16,34,36,
17,1,23,23,26,11,26,41,3,22,35,19,32,36,33,24,4,20,100000,40,20,37,49,13,
41,11,48,25,22,42,40,34,24,36,26,24,29,39,13,42,43,8,40,100000,27,21,24,11,
20,6,13,29,6,9,43,4,9,2,26,22,8,6,6,48,26,2,20,27,100000,9,38,3,
31,14,18,3,23,29,42,27,12,15,25,9,8,30,47,18,26,16,37,21,9,100000,28,7,
29,1,7,6,36,13,9,41,43,8,17,47,13,46,47,6,27,34,49,24,38,28,100000,49,
24,4,47,25,5,25,37,3,19,34,39,11,46,35,35,35,9,36,13,11,3,7,49,100000,
