100000,47,41,18,6,36,15,19,14,3,13,22,43,39,36,40,26,9,5,8,33,9,21,14,13,25,33,
47,100000,47,11,44,28,37,12,45,13,14,44,29,26,18,14,10,43,7,42,2,38,41,1,31,39,8,
41,47,100000,32,12,7,3,46,42,38,9,13,36,46,21,15,40,29,46,39,12,11,49,21,42,6,45,
18,11,32,100000,5,7,9,43,44,34,12,43,31,27,13,12,12,36,18,15,42,36,1,41,46,48,41,
6,44,12,5,100000,31,28,9,9,3,3,22,18,42,45,16,29,9,3,43,46,6,20,22,13,25,32,
36,28,7,7,31,100000,35,17,15,17,47,42,30,44,34,27,27,22,39,9,40,1,42,22,37,33,4,
15,37,3,9,28,35,100000,33,47,45,44,33,32,20,6,27,41,27,35,35,16,19,3,38,14,12,19,
19,12,46,43,9,17,33,100000,36,25,21,22,46,17,32,47,49,39,15,12,3,27,27,43,46,44,45,
14,45,42,44,9,15,47,36,100000,28,14,24,1,4,43,30,1,13,44,14,38,48,25,28,32,14,1,
3,13,38,34,3,17,45,25,28,100000,1,26,4,32,3,29,47,47,39,32,2,28,21,42,22,23,15,
13,14,9,12,3,47,44,21,14,1,100000,46,49,22,21,1,36,13,7,16,41,47,49,47,6,17,1,
22,44,13,43,22,42,33,22,24,26,46,100000,3,25,5,22,41,41,13,44,36,19,24,2,2,29,11,
43,29,36,31,18,30,32,46,1,4,49,3,100000,48,15,26,19,5,9,28,5,28,47,47,14,41,39,
39,26,46,27,42,44,20,17,4,32,22,25,48,100000,19,28,15,3,26,41,11,37,32,13,44,9,22,
36,18,21,13,45,34,6,32,43,3,21,5,15,19,100000,48,17,27,37,37,21,4,47,44,44,20,32,
40,14,15,12,16,27,27,47,30,29,1,22,26,28,48,100000,12,8,30,30,41,29,32,43,6,24,37,
26,10,40,12,29,27,41,49,1,47,36,41,19,15,17,12,100000,48,47,35,34,8,46,20,20,12,32,
9,43,29,36,9,22,27,39,13,47,13,41,5,3,27,8,48,100000,34,34,43,13,39,32,13,21,42,
5,7,46,18,3,39,35,15,44,39,7,13,9,26,37,30,47,34,100000,22,30,49,40,42,21,36,33,
8,42,39,15,43,9,35,12,14,32,16,44,28,41,37,30,35,34,22,100000,29,26,27,31,30,13,44,
33,2,12,42,46,40,16,3,38,2,41,36,5,11,21,41,34,43,30,29,100000,37,43,26,7,1,26,
9,38,11,36,6,1,19,27,48,28,47,19,28,37,4,29,8,13,49,26,37,100000,26,24,11,47,31,
21,41,49,1,20,42,3,27,25,21,49,24,47,32,47,32,46,39,40,27,43,26,100000,16,36,24,2,
14,1,21,41,22,22,38,43,28,42,47,2,47,13,44,43,20,32,42,31,26,24,16,100000,44,3,12,
13,31,42,46,13,37,14,46,32,22,6,2,14,44,44,6,20,13,21,30,7,11,36,44,100000,48,4,
25,39,6,48,25,33,12,44,14,23,17,29,41,9,20,24,12,21,36,13,1,47,24,3,48,100000,14,
33,8,45,41,32,4,19,45,1,15,1,11,39,22,32,37,32,42,33,44,26,31,2,12,4,14,100000,
