100000,4,19,29,21,15,18,43,28,31,2,29,18,32,42,21,20,17,16,39,11,
4,100000,34,5,40,16,16,28,17,11,17,34,14,34,40,43,40,2,38,24,11,
19,34,100000,12,39,48,10,18,46,10,6,13,16,48,27,49,35,33,46,26,24,
29,5,12,100000,19,43,40,26,39,31,5,33,13,42,31,26,6,39,3,18,26,
21,40,39,19,100000,48,33,35,45,31,15,25,23,28,44,30,42,42,16,45,45,
15,16,48,43,48,100000,48,5,29,27,25,26,27,28,43,49,47,44,12,38,16,
18,16,10,40,33,48,100000,5,14,17,17,33,26,37,24,8,43,15,1,23,7,
43,28,18,26,35,5,5,100000,2,36,46,19,15,1,1,29,23,10,37,46,37,
28,17,46,39,45,29,14,2,100000,35,6,22,49,37,45,27,48,30,18,17,35,
31,11,10,31,31,27,17,36,35,100000,15,2,35,16,30,7,32,17,14,22,22,
2,17,6,5,15,25,17,46,6,15,100000,23,9,45,47,7,10,22,23,5,34,
29,34,13,33,25,26,33,19,22,2,23,100000,6,20,30,2,25,41,16,8,13,
18,14,16,13,23,27,26,15,49,35,9,6,100000,38,41,46,20,33,3,38,20,
32,34,48,42,28,28,37,1,37,16,45,20,38,100000,26,7,39,36,11,3,47,
42,40,27,31,44,43,24,1,45,30,47,30,41,26,100000,49,46,19,33,48,39,
21,43,49,26,30,49,8,29,27,7,7,2,46,7,49,100000,27,28,35,32,6,
20,40,35,6,42,47,43,23,48,32,10,25,20,39,46,27,100000,25,32,5,44,
17,2,33,39,42,44,15,10,30,17,22,41,33,36,19,28,25,100000,45,3,43,
16,38,46,3,16,12,1,37,18,14,23,16,3,11,33,35,32,45,100000,46,27,
39,24,26,18,45,38,23,46,17,22,5,8,38,3,48,32,5,3,46,100000,40,
11,11,24,26,45,16,7,37,35,22,34,13,20,47,39,6,44,43,27,40,100000,
