100000,13,27,30,27,27,5,5,40,3,16,2,21,18,9,32,7,13,28,8,33,19,6,23,12,5,
13,100000,42,45,1,17,35,14,11,21,38,27,43,24,12,33,26,6,28,44,43,18,18,8,35,41,
27,42,100000,44,42,34,19,46,40,25,44,1,12,10,45,27,39,34,25,6,18,31,30,45,17,39,
30,45,44,100000,26,2,9,39,27,41,5,6,23,27,8,8,14,7,44,12,40,10,40,24,15,32,
27,1,42,26,100000,22,20,13,29,49,14,45,37,8,20,26,13,38,25,19,44,48,1,14,5,2,
27,17,34,2,22,100000,46,47,15,10,11,34,18,5,39,11,30,33,30,15,41,29,34,16,25,24,
5,35,19,9,20,46,100000,18,37,30,11,18,9,20,45,11,10,44,26,42,27,18,38,43,7,13,
5,14,46,39,13,47,18,100000,19,33,30,37,3,40,10,20,7,48,48,44,22,10,37,11,43,23,
40,11,40,27,29,15,37,19,100000,17,44,41,40,7,4,27,7,41,23,28,41,37,46,49,28,24,
3,21,25,41,49,10,30,33,17,100000,15,38,34,29,18,38,21,21,20,21,48,14,1,4,19,24,
16,38,44,5,14,11,11,30,44,15,100000,47,5,3,45,47,20,48,21,20,49,45,4,19,23,20,
2,27,1,6,45,34,18,37,41,38,47,100000,44,44,42,37,14,13,31,38,47,8,29,36,20,27,
21,43,12,23,37,18,9,3,40,34,5,44,100000,27,6,8,26,30,20,35,36,23,17,27,48,49,
18,24,10,27,8,5,20,40,7,29,3,44,27,100000,40,28,6,34,2,1,29,40,17,49,11,32,
9,12,45,8,20,39,45,10,4,18,45,42,6,40,100000,30,45,36,31,14,32,25,1,5,42,1,
32,33,27,8,26,11,11,20,27,38,47,37,8,28,30,100000,9,45,49,10,24,4,29,18,18,5,
7,26,39,14,13,30,10,7,7,21,20,14,26,6,45,9,100000,39,40,45,18,4,40,21,48,32,
13,6,34,7,38,33,44,48,41,21,48,13,30,34,36,45,39,100000,32,12,31,20,33,24,42,39,
28,28,25,44,25,30,26,48,23,20,21,31,20,2,31,49,40,32,100000,33,6,11,41,37,20,40,
8,44,6,12,19,15,42,44,28,21,20,38,35,1,14,10,45,12,33,100000,2,11,7,45,24,2,
33,43,18,40,44,41,27,22,41,48,49,47,36,29,32,24,18,31,6,2,100000,5,6,36,9,47,
19,18,31,10,48,29,18,10,37,14,45,8,23,40,25,4,4,20,11,11,5,100000,13,43,9,30,
6,18,30,40,1,34,38,37,46,1,4,29,17,17,1,29,40,33,41,7,6,13,100000,22,31,7,
23,8,45,24,14,16,43,11,49,4,19,36,27,49,5,18,21,24,37,45,36,43,22,100000,9,39,
12,35,17,15,5,25,7,43,28,19,23,20,48,11,42,18,48,42,20,24,9,9,31,9,100000,47,
5,41,39,32,2,24,13,23,24,24,20,27,49,32,1,5,32,39,40,2,47,30,7,39,47,100000,
