100000,31,37,36,17,18,44,5,2,33,17,33,20,43,29,38,18,
31,100000,17,19,20,5,8,30,8,1,28,23,24,32,37,5,38,
37,17,100000,34,24,28,2,31,20,40,46,40,25,23,37,49,48,
36,19,34,100000,32,14,48,34,3,48,21,30,20,29,16,1,22,
17,20,24,32,100000,25,49,3,14,48,45,32,14,18,43,5,37,
18,5,28,14,25,100000,39,44,19,43,25,32,19,6,47,40,12,
44,8,2,48,49,39,100000,45,17,37,14,2,32,24,37,9,1,
5,30,31,34,3,44,45,100000,14,2,37,4,15,6,47,28,44,
2,8,20,3,14,19,17,14,100000,27,7,7,29,25,30,22,4,
33,1,40,48,48,43,37,2,27,100000,36,7,1,21,22,9,9,
17,28,46,21,45,25,14,37,7,36,100000,19,9,10,19,6,8,
33,23,40,30,32,32,2,4,7,7,19,100000,11,48,1,14,16,
20,24,25,20,14,19,32,15,29,1,9,11,100000,28,9,12,41,
43,32,23,29,18,6,24,6,25,21,10,48,28,100000,6,32,12,
29,37,37,16,43,47,37,47,30,22,19,1,9,6,100000,15,20,
38,5,49,1,5,40,9,28,22,9,6,14,12,32,15,100000,43,
18,38,48,22,37,12,1,44,4,9,8,16,41,12,20,43,100000,
