100000,28,14,8,5,7,3,9,28,40,9,12,12,6,39,5,28,4,7,30,6,15,31,
28,100000,1,25,30,39,2,23,47,32,33,10,8,46,21,35,23,35,29,42,10,21,44,
14,1,100000,21,33,28,13,30,29,10,12,19,21,42,48,16,17,35,20,41,40,10,32,
8,25,21,100000,41,45,29,29,39,8,4,32,21,15,11,6,20,5,8,37,5,44,11,
5,30,33,41,100000,38,4,11,43,4,6,34,46,45,37,30,11,13,7,39,12,1,31,
7,39,28,45,38,100000,10,18,29,41,42,24,22,19,17,35,12,37,33,29,29,21,34,
3,2,13,29,4,10,100000,21,11,17,5,32,1,45,37,16,15,12,20,24,28,35,13,
9,23,30,29,11,18,21,100000,17,40,48,47,17,28,21,32,42,24,10,49,17,37,15,
28,47,29,39,43,29,11,17,100000,31,20,2,8,4,19,32,6,20,24,35,48,7,48,
40,32,10,8,4,41,17,40,31,100000,39,23,2,7,4,7,29,41,8,1,31,36,38,
9,33,12,4,6,42,5,48,20,39,100000,4,45,30,36,6,36,5,43,23,49,2,17,
12,10,19,32,34,24,32,47,2,23,4,100000,39,15,22,41,28,40,6,1,11,44,44,
12,8,21,21,46,22,1,17,8,2,45,39,100000,42,44,8,43,10,45,37,9,47,3,
6,46,42,15,45,19,45,28,4,7,30,15,42,100000,12,17,1,34,9,9,5,46,16,
39,21,48,11,37,17,37,21,19,4,36,22,44,12,100000,15,7,42,14,9,2,28,9,
5,35,16,6,30,35,16,32,32,7,6,41,8,17,15,100000,40,23,22,48,21,25,1,
28,23,17,20,11,12,15,42,6,29,36,28,43,1,7,40,100000,1,46,36,22,26,33,
4,35,35,5,13,37,12,24,20,41,5,40,10,34,42,23,1,100000,3,32,38,27,28,
7,29,20,8,7,33,20,10,24,8,43,6,45,9,14,22,46,3,100000,49,48,5,8,
30,42,41,37,39,29,24,49,35,1,23,1,37,9,9,48,36,32,49,100000,18,4,41,
6,10,40,5,12,29,28,17,48,31,49,11,9,5,2,21,22,38,48,18,100000,8,40,
15,21,10,44,1,21,35,37,7,36,2,44,47,46,28,25,26,27,5,4,8,100000,12,
31,44,32,11,31,34,13,15,48,38,17,44,3,16,9,1,33,28,8,41,40,12,100000,
