100000,42,32,35,24,36,48,24,12,47,23,9,38,39,30,1,1,37,30,43,6,18,28,45,18,
42,100000,29,25,30,14,47,36,29,36,39,15,14,49,7,38,47,47,18,24,4,17,27,44,44,
32,29,100000,2,18,47,30,1,7,16,21,48,31,9,33,10,9,37,15,48,18,41,9,49,20,
35,25,2,100000,47,20,29,10,29,24,25,15,18,8,20,16,8,7,27,25,19,44,15,45,14,
24,30,18,47,100000,29,17,32,23,34,42,8,7,26,25,12,5,11,29,22,22,10,12,13,21,
36,14,47,20,29,100000,46,34,7,17,21,23,36,24,21,2,15,37,47,23,14,29,18,22,44,
48,47,30,29,17,46,100000,29,39,23,26,10,5,31,32,35,49,15,48,17,27,9,19,23,21,
24,36,1,10,32,34,29,100000,47,34,40,21,20,11,16,10,38,32,37,3,1,32,10,14,5,
12,29,7,29,23,7,39,47,100000,21,32,31,4,42,44,47,49,1,17,31,12,18,37,26,26,
47,36,16,24,34,17,23,34,21,100000,12,25,25,28,18,7,2,28,12,9,46,42,9,43,48,
23,39,21,25,42,21,26,40,32,12,100000,35,22,46,14,23,24,33,2,7,19,42,37,10,13,
9,15,48,15,8,23,10,21,31,25,35,100000,10,13,26,37,9,37,34,13,28,41,47,12,32,
38,14,31,18,7,36,5,20,4,25,22,10,100000,9,47,12,44,26,18,13,1,14,9,12,10,
39,49,9,8,26,24,31,11,42,28,46,13,9,100000,9,8,43,22,42,46,29,48,32,14,34,
30,7,33,20,25,21,32,16,44,18,14,26,47,9,100000,36,48,20,3,17,17,10,29,8,41,
1,38,10,16,12,2,35,10,47,7,23,37,12,8,36,100000,35,27,4,3,33,24,31,17,24,
1,47,9,8,5,15,49,38,49,2,24,9,44,43,48,35,100000,24,17,20,12,25,6,33,28,
37,47,37,7,11,37,15,32,1,28,33,37,26,22,20,27,24,100000,27,31,46,24,22,16,18,
30,18,15,27,29,47,48,37,17,12,2,34,18,42,3,4,17,27,100000,37,12,33,39,39,38,
43,24,48,25,22,23,17,3,31,9,7,13,13,46,17,3,20,31,37,100000,19,3,25,2,6,
6,4,18,19,22,14,27,1,12,46,19,28,1,29,17,33,12,46,12,19,100000,23,3,24,19,
18,17,41,44,10,29,9,32,18,42,42,41,14,48,10,24,25,24,33,3,23,100000,2,36,29,
28,27,9,15,12,18,19,10,37,9,37,47,9,32,29,31,6,22,39,25,3,2,100000,22,21,
45,44,49,45,13,22,23,14,26,43,10,12,12,14,8,17,33,16,39,2,24,36,22,100000,43,
18,44,20,14,21,44,21,5,26,48,13,32,10,34,41,24,28,18,38,6,19,29,21,43,100000,
