100000,23,42,11,22,32,17,41,39,26,15,24,34,42,5,42,45,49,8,3,14,32,
23,100000,31,1,23,4,9,23,40,19,48,18,20,43,32,22,8,21,47,31,32,9,
42,31,100000,44,3,49,44,35,36,21,18,22,13,32,15,15,39,29,26,21,30,11,
11,1,44,100000,10,26,19,27,10,14,15,19,23,9,40,8,2,28,33,37,39,22,
22,23,3,10,100000,23,39,25,20,45,47,27,6,44,10,37,5,44,20,29,25,10,
32,4,49,26,23,100000,22,12,28,30,20,39,19,49,32,10,10,8,20,12,23,47,
17,9,44,19,39,22,100000,4,24,46,26,12,15,40,1,36,22,12,22,38,22,22,
41,23,35,27,25,12,4,100000,16,20,29,39,19,37,42,18,28,44,1,5,33,43,
39,40,36,10,20,28,24,16,100000,41,31,37,19,47,20,6,19,14,11,24,2,45,
26,19,21,14,45,30,46,20,41,100000,36,34,26,31,15,48,11,25,10,4,3,39,
15,48,18,15,47,20,26,29,31,36,100000,12,43,24,49,11,41,44,40,19,11,31,
24,18,22,19,27,39,12,39,37,34,12,100000,38,45,13,12,31,21,5,31,19,32,
34,20,13,23,6,19,15,19,19,26,43,38,100000,2,46,19,31,21,7,31,5,44,
42,43,32,9,44,49,40,37,47,31,24,45,2,100000,48,25,44,44,28,34,25,5,
5,32,15,40,10,32,1,42,20,15,49,13,46,48,100000,12,9,21,41,5,3,10,
42,22,15,8,37,10,36,18,6,48,11,12,19,25,12,100000,20,7,12,20,11,10,
45,8,39,2,5,10,22,28,19,11,41,31,31,44,9,20,100000,43,39,7,27,48,
49,21,29,28,44,8,12,44,14,25,44,21,21,44,21,7,43,100000,38,47,6,17,
8,47,26,33,20,20,22,1,11,10,40,5,7,28,41,12,39,38,100000,10,2,48,
3,31,21,37,29,12,38,5,24,4,19,31,31,34,5,20,7,47,10,100000,10,23,
14,32,30,39,25,23,22,33,2,3,11,19,5,25,3,11,27,6,2,10,100000,11,
32,9,11,22,10,47,22,43,45,39,31,32,44,5,10,10,48,17,48,23,11,100000,
